p.values	ID	Symbol	CHROMOSOME	STARTPOS
0.0172471810476995	H09996	MMP16	8	89118578
0.0172471810476995	H72538	DECR1	8	91082756
0.0172471810476995	H87934	CALB1	8	91140007
0.0172471810476995	N33237	POP1	8	99239395
0.0172471810476995	W74802		8	102572572
0.0172471810476995	T68333	FZD6	8	104380248
0.0172471810476995	AA478596	ZHX2	8	123863151
0.0172471810476995	AA167188	ZHX1	8	124329872
0.0172471810476995	AA485369	TMEM65	8	125393412
0.0172471810476995	AA455271	GRINA	8	145136277
0.0172471810476995	AA447774	CYC1	8	145221980
0.0188022959832084	N62766	NSMAF	8	59658624
0.0188022959832084	AA455800	GGH	8	64090090
0.0188022959832084	R77770	NCOA2	8	71186821
0.0188022959832084	N32949		8	124579311
0.0188022959832084	AA676805	MTSS1	8	125632194
0.0194797062295820	R25045	SNTG1	8	51730615
0.0194797062295820	H08136		8	65452422
0.0194797062295820	AA464529	STK3	8	99536031
0.0194797062295820	AA487582	EXT1	8	119189872
0.0217773916077732	N92864	CPSF1	8	145589241
0.0218436888854548	R38102		8	53697567
0.023356516993724	T61269	FLJ20366	8	110655553
0.0241070226052505	AA460599	COPS5	8	68117871
0.0241070226052505	AA459100	TPD52	8	81111302
0.0241070226052505	AA005409	LOC157562	8	102248210
0.0241070226052505	H27554	EDD1	8	103325013
0.0241070226052505	AA421687	TSTA3	8	144765925
0.0246147656796692	H05768	ATP6V1C1	8	104102419
0.0253040387000424	AA452566	PXMP3	8	78057520
0.0254341457221048	N53492	ZFHX4	8	77928163
0.0268774360415455	T55399	LYN	8	56954915
0.0290019589982946	AA055193	ZNF706	8	102278381
0.0316507609456782	AA464518		8	81616565
0.0340840910618144	AA434161	MAF1	8	145225526
0.0340895997525186	AA453783	MAL2	8	120289758
0.0352519679929376	W56451	ZNF34	8	145969307
0.0371622061920728	R48004	MYC	8	128817530
0.0421474845251561	AA448400	PLEC1	8	145061309
0.0460454260210169	AA115059	ARMC1	8	66677512
0.047135934761692	T55975	PTK2	8	141801574
0.047135934761692	W67139	LYNX1	8	143849612
0.0496596705844981	AA455301	GPAA1	8	145209512
0.0496612361532802	R93176	CA1	8	86427706
0.0496612361532802	AA630094	SIAHBP1	8	144970537
0.0501083751004503	AA291486	PTK2	8	141737677
0.0518500138625841	T50699		8	110645595
0.0535492427935987	H90219	IMPA1	8	82732730
0.0586347655666643	AA418251	PLAG1	8	57236772
0.0586347655666643	N72715	HRSP12	8	99183715
0.0586347655666643	AA181333	TTC35	8	109524969
0.0586347655666643	AA486403	NDRG1	8	134318596
0.0729997625361375	H64346		8	97575031
0.0783610563742366	AA099747	CHMP4C	8	82807223
0.0863945157646183	H23187	CA2	8	86563433
0.095231508520848	AA010252	C8orf31	8	144192079
0.103654507559417	T82414	RAB2A	8	61592023
0.103702875058564	AA455521	E2F5	8	86276870
0.119600784297595	N64741		8	49992740
0.136120918087087	H53479	TRPS1	8	116665653
0.136120918087087	AA485141	SLA	8	134118151
0.201221019824719	N93082	EIF2C2	8	141599438
0.203059518945026	R38161		8	101997929
0.210794059673504	H43662		8	82552926
0.210794059673504	N92901	FABP4	8	82553453
0.210794059673504	AA071473	MATN2	8	98969358
0.213066364070785	AA234889	ANKRD46	8	101602169
0.230391551102453	AA669674	EIF3S6	8	109283140
0.231101503690910	R18248	IMPA1	8	82700845
0.262273869929206	AA455614	SDCBP	8	59628282
0.350212003730014	H15321	TRAM1	8	71648226
0.359778979753295	AA464962	COMMD5	8	146046354
0.394793986332485	R45054	CRH	8	67251165
0.455210417409623	AA448676	UBE2V2	8	49083547
0.462441822907099	W32403	MRPL15	8	55222599
0.505998261688093	AA664284	UQCRB	8	97311936
0.598357779937397	AA600214	LAPTM4B	8	98856985
0.741944017364597	AA427400	SOX17	8	55533633
0.741944017364597	T78475		8	66683940
0.741944017364597	N92734	MTDH	8	98807865
0.741944017364597	AA683102	RAD21	8	117927355
0.832304243274683	AA088861	CDH17	8	95208565
0.852966843369457	T59948	DDEF1	8	131134171
0.925742554179762	AA426010	PMP2	8	82515116
1	AA043494		8	48812029
1	AA485983	MCM4	8	49036047
1	H00817	LYPLA1	8	55121481
1	H93423	RPS20	8	57148169
1	R33098	TERF1	8	74083648
1	AA281667	PKIA	8	79590891
1	AA418077	GEM	8	95330652
1	H28984	PTDSS1	8	97342518
1	AA456931	COX6C	8	100959535
1	AA455545		8	101232015
1	N72009		8	101772676
1	AA486531	PABPC1	8	101784338
1	AA485749	YWHAZ	8	102032258
1	AA676515	AZIN1	8	103907706
1	AA292382	LRRC24	8	145714197
